Name,Park,Location,Opening Date,Length,Height,Drop,Speed,Inversions,Vertical Angle,Duration,RCDB Link
"Flying Turns","Knoebels Amusement Park & Resort","Elysburg, Pennsylvania, USA",10/5/2013,1300,50,,24,0,,,https://rcdb.com/3458.htm
"Roar-O-Saurus","Story Land","Glen, New Hampshire, USA",5/24/2014,1240,40,38,33,0,,,https://rcdb.com/11611.htm
"Goliath","Six Flags Great America","Gurnee, Illinois, USA",6/19/2014,3100,165,180,72,2,85,,https://rcdb.com/9972.htm
"Time Travel","Hot Go Park - Happy Jungle World","Fushun, Liaoning, China",9/2014,3681.1,103.3,101.8,58.4,0,62,,https://rcdb.com/11606.htm
"Cú Chulainn","Tayto Park","Ashbourne, Meath, Ireland",6/6/2015,3590,105,105.8,56,0,65,2:45,https://rcdb.com/12364.htm
"Jungle Trailblazer","Oriental Heritage","Huaiyin, Jinan, Shandong, China",6/13/2015,3264.4,106,104,55.2,1,62,2:30,https://rcdb.com/11604.htm
"Jungle Trailblazer","Fantawild Dreamland","Zhongmu, Zhengzhou, Henan, China",7/9/2015,3198.8,108.3,100.8,54.1,0,61,,https://rcdb.com/12393.htm
"Jungle Trailblazer","Oriental Heritage","Jiujiang, Wuhu, Anhui, China",8/16/2015,3467.8,109.6,107.9,56.5,1,60,,https://rcdb.com/11602.htm
"Switchback","ZDT'S Amusement Park","Seguin, Texas, USA",10/17/2015,1196,64,56,41,0,87,,https://rcdb.com/12392.htm
"Timber","Walibi Rhône-Alpes","Les Avenières, Auvergne-Rhône-Alpes, France",4/9/2016,1464,55.8,54.8,40,0,59,,https://rcdb.com/12954.htm
"Jungle Trailblazer","Oriental Heritage","Cixi, Ningbo, Zhejiang, China",4/16/2016,3264.4,106,104,55.2,1,62,,https://rcdb.com/12236.htm
"Python in Bamboo Forest","Nanchang Wanda Theme Park","Xinjian, Nanchang, Jiangxi, China",5/28/2016,5111,,,62.1,0,,,https://rcdb.com/11608.htm
"Lightning Rod","Dollywood","Pigeon Forge, Tennessee, USA",6/13/2016,3800,,165,73,0,73,,https://rcdb.com/13369.htm
"Wildfire","Kolmården","Norrköping, Östergötland, Sweden",6/28/2016,4150.3,183.8,160.8,71.5,3,83,2:00,https://rcdb.com/12032.htm
"Jungle Trailblazer","Fantawild Dreamland","Shifeng, Zhuzhou, Hunan, China",8/18/2016,3989.5,111.6,91.8,54.1,0,60,1:30,https://rcdb.com/11601.htm
"Heidi The Ride","Plopsaland De Panne","Adinkerke-De Panne, West-Vlaanderen, Belgium",4/2/2017,2027.6,72.2,,44.1,0,,,https://rcdb.com/7645.htm
"InvadR","Busch Gardens Williamsburg","Williamsburg, Virginia, USA",4/7/2017,2118,,74,48,0,,,https://rcdb.com/8027.htm
"Mystic Timbers","Kings Island","Mason, Ohio, USA",4/15/2017,3265,109.2,,53,0,,,https://rcdb.com/14116.htm
"Jungle Trailblazer","Oriental Heritage","Tong'an, Xiamen, Fujian, China",4/16/2017,3248,107.6,,,0,,2:30,https://rcdb.com/13453.htm
"Mine Blower","Fun Spot America","Kissimmee, Florida, USA",6/23/2017,2290,83,80.5,48.5,1,,,https://rcdb.com/14554.htm
"Great Desert-Rally","Happy Valley","Jinniu, Chengdu, Sichuan, China",8/8/2017,3280.8,100,,,0,,,https://rcdb.com/13657.htm
"Jungle Dragon","Happy Valley","Yubei, Chongqing, China",9/6/2017,3957,,99,55,0,,,https://rcdb.com/13833.htm
"Wicker Man","Alton Towers","Alton, Staffordshire, England, United Kingdom",3/20/2018,2608.3,,72.2,43.6,0,,3:30,https://rcdb.com/15029.htm
"Oscar's Wacky Taxi","Sesame Place","Langhorne, Pennsylvania, USA",5/26/2018,1205,43,39,34,0,,,https://rcdb.com/15486.htm
"Wood Express","Parc Saint Paul","Saint Paul, Picardie, France",7/1/2018,1588,50,48.8,38.2,0,57,,https://rcdb.com/15595.htm
"Jungle Trailblazer","Fantawild Asian Legends","Qingxiu, Nanning, Guangxi, China",8/8/2018,3198.8,108.3,100.8,54.1,0,61,,https://rcdb.com/14714.htm

"Montaña Suiza","Parque de Atracciones Monte Igueldo","San Sebastián, Guipuzcoa, Spain",1928,1312.3,,,31.1,0,,1:30,https://rcdb.com/1449.htm
"Rodelbaan","De Waarbeek","Hengelo, Overijssel, Netherlands",1930,,13.1,,,0,,,https://rcdb.com/1824.htm
"Little Dipper","Conneaut Lake Park","Conneaut Lake, Pennsylvania, USA",1950,,,,,0,,,https://rcdb.com/250.htm
"Bobsleds","Seabreeze","Rochester, New York, USA",1952,1240,31,,23,0,,,https://rcdb.com/228.htm
"Little Dipper","Quassy Amusement Park","Middlebury, Connecticut, USA",1952,,,,,0,,,https://rcdb.com/677.htm
"Little Dipper","Memphis Kiddie Park","Cleveland, Ohio, USA",5/16/1952,,,,,0,,,https://rcdb.com/635.htm
"Roller Coaster","Hanayashiki","Asakusa, Taito, Tokyo, Japan",1953,767.8,36.1,,,0,40,1:30,https://rcdb.com/1274.htm
"Little Fire Ball","Kiddie Park","Bartlesville, Oklahoma, USA",1953 - 1971,,,,,0,,,https://rcdb.com/1765.htm
"Wild Chipmunk","Lakeside Amusement Park","Denver, Colorado, USA",1955,1150,41,,21,0,,0:48,https://rcdb.com/289.htm
"Little Dipper","Midway Park","Bemus Point, New York, USA",1956 - 1957,,,,,0,,,https://rcdb.com/716.htm
"Jet Coaster","Misaki Park","Osaka, Osaka, Japan",1957,,,,,0,,1:58,https://rcdb.com/2406.htm
"Matterhorn Bobsleds","Disneyland","Anaheim, California, USA",1959,2037,80,,,00,,2:072,https://rcdb.com/200.htm
